Country Name,Country Code,Indicator Name,Indicator Code,2019
Sub-Saharan Africa (excluding high income),SSA,CO2 emissions (kt),EN.ATM.CO2E.KT,823160
South Sudan,SSD,CO2 emissions (kt),EN.ATM.CO2E.KT,1700
Sub-Saharan Africa,SSF,CO2 emissions (kt),EN.ATM.CO2E.KT,823770
Small states,SST,CO2 emissions (kt),EN.ATM.CO2E.KT,232249
Sao Tome and Principe,STP,CO2 emissions (kt),EN.ATM.CO2E.KT,150
Suriname,SUR,CO2 emissions (kt),EN.ATM.CO2E.KT,2650
Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,31080
Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,13600
Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,35000
Eswatini,SWZ,CO2 emissions (kt),EN.ATM.CO2E.KT,960
Sint Maarten (Dutch part),SXM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Seychelles,SYC,CO2 emissions (kt),EN.ATM.CO2E.KT,610
Syrian Arab Republic,SYR,CO2 emissions (kt),EN.ATM.CO2E.KT,25710
Turks and Caicos Islands,TCA,CO2 emissions (kt),EN.ATM.CO2E.KT,
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,2250
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions (kt),EN.ATM.CO2E.KT,12435640
Europe & Central Asia (IDA & IBRD countries),TEC,CO2 emissions (kt),EN.ATM.CO2E.KT,3327834
Togo,TGO,CO2 emissions (kt),EN.ATM.CO2E.KT,2370
Thailand,THA,CO2 emissions (kt),EN.ATM.CO2E.KT,267090
Tajikistan,TJK,CO2 emissions (kt),EN.ATM.CO2E.KT,9420
Turkmenistan,TKM,CO2 emissions (kt),EN.ATM.CO2E.KT,72870
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions (kt),EN.ATM.CO2E.KT,1597990
Timor-Leste,TLS,CO2 emissions (kt),EN.ATM.CO2E.KT,620
Middle East & North Africa (IDA & IBRD countries),TMN,CO2 emissions (kt),EN.ATM.CO2E.KT,1473190
Tonga,TON,CO2 emissions (kt),EN.ATM.CO2E.KT,160
South Asia (IDA & IBRD),TSA,CO2 emissions (kt),EN.ATM.CO2E.KT,2784080
Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions (kt),EN.ATM.CO2E.KT,823770
Trinidad and Tobago,TTO,CO2 emissions (kt),EN.ATM.CO2E.KT,17190
Tunisia,TUN,CO2 emissions (kt),EN.ATM.CO2E.KT,29910
Turkiye,TUR,CO2 emissions (kt),EN.ATM.CO2E.KT,396840
Tuvalu,TUV,CO2 emissions (kt),EN.ATM.CO2E.KT,10
Tanzania,TZA,CO2 emissions (kt),EN.ATM.CO2E.KT,12450
Uganda,UGA,CO2 emissions (kt),EN.ATM.CO2E.KT,5860
Ukraine,UKR,CO2 emissions (kt),EN.ATM.CO2E.KT,174730
Upper middle income,UMC,CO2 emissions (kt),EN.ATM.CO2E.KT,15918663
Uruguay,URY,CO2 emissions (kt),EN.ATM.CO2E.KT,6490
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,4817720
Uzbekistan,UZB,CO2 emissions (kt),EN.ATM.CO2E.KT,116710
St. Vincent and the Grenadines,VCT,CO2 emissions (kt),EN.ATM.CO2E.KT,260
"Venezuela, RB",VEN,CO2 emissions (kt),EN.ATM.CO2E.KT,112340
British Virgin Islands,VGB,CO2 emissions (kt),EN.ATM.CO2E.KT,
Virgin Islands (U.S.),VIR,CO2 emissions (kt),EN.ATM.CO2E.KT,
Vietnam,VNM,CO2 emissions (kt),EN.ATM.CO2E.KT,336490
Vanuatu,VUT,CO2 emissions (kt),EN.ATM.CO2E.KT,210
World,WLD,CO2 emissions (kt),EN.ATM.CO2E.KT,34344006
Samoa,WSM,CO2 emissions (kt),EN.ATM.CO2E.KT,300
Kosovo,XKX,CO2 emissions (kt),EN.ATM.CO2E.KT,
"Yemen, Rep.",YEM,CO2 emissions (kt),EN.ATM.CO2E.KT,11100
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,439640
Zambia,ZMB,CO2 emissions (kt),EN.ATM.CO2E.KT,6800
Zimbabwe,ZWE,CO2 emissions (kt),EN.ATM.CO2E.KT,11760
